method,auroc,fpr95,tpr05
loss,58.1%,91.7%,7.3%
zlib,58.3%,90.2%,8.3%
mink_0.1,54.4%,97.2%,10.4%
mink_0.2,57.0%,93.4%,9.6%
mink_0.3,58.0%,91.1%,8.4%
mink_0.4,58.3%,90.9%,7.9%
mink_0.5,58.4%,90.8%,7.6%
mink_0.6,58.2%,91.1%,7.4%
mink_0.7,58.2%,91.7%,7.2%
mink_0.8,58.1%,91.7%,7.3%
mink_0.9,58.1%,91.5%,7.3%
mink_1.0,58.1%,91.7%,7.3%
mink++_0.1,68.0%,74.5%,13.9%
mink++_0.2,67.9%,76.7%,15.5%
mink++_0.3,67.8%,78.3%,16.1%
mink++_0.4,67.9%,79.1%,16.6%
mink++_0.5,68.1%,79.3%,16.6%
mink++_0.6,68.1%,79.7%,16.6%
mink++_0.7,68.0%,79.6%,15.8%
mink++_0.8,67.9%,80.3%,15.2%
mink++_0.9,67.7%,79.8%,13.9%
mink++_1.0,66.7%,81.8%,12.8%
