method,auroc,fpr95,tpr05
loss,61.6%,89.7%,14.2%
zlib,62.3%,85.9%,14.5%
mink_0.1,58.7%,92.8%,11.1%
mink_0.2,60.9%,91.8%,16.3%
mink_0.3,61.1%,88.9%,16.0%
mink_0.4,61.2%,88.4%,16.0%
mink_0.5,61.7%,89.5%,16.5%
mink_0.6,61.7%,90.5%,15.0%
mink_0.7,61.6%,90.2%,15.5%
mink_0.8,61.4%,90.0%,14.7%
mink_0.9,61.4%,90.2%,14.5%
mink_1.0,61.6%,89.7%,14.2%
mink++_0.1,60.0%,91.3%,6.7%
mink++_0.2,61.3%,89.5%,10.9%
mink++_0.3,62.1%,89.5%,9.8%
mink++_0.4,62.2%,87.9%,12.1%
mink++_0.5,62.3%,89.2%,12.9%
mink++_0.6,62.4%,88.2%,12.7%
mink++_0.7,62.4%,88.9%,14.0%
mink++_0.8,62.2%,88.4%,12.9%
mink++_0.9,62.0%,88.4%,13.2%
mink++_1.0,62.4%,87.9%,11.6%
ref,61.2%,83.5%,7.2%
lowercase,60.3%,89.2%,11.6%
neighbor,64.5%,87.9%,8.5%
